Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-49-AAR0,94.6951,198860.1884,125.9296,26.7724,1740.704,492.8111,8783.8374,8.9241,89.7372,392.6624,41.1502,766.9807,101.1403,14.8736,10.9073,720.9866,103.1235,303.4209,31.6857,9.4199,1
TCGA-49-AAR2,6.187,1798.5522,33.4096,0,2384.4583,9.8992,548.1656,1.2374,6.8057,47.6397,255.5219,665.718,199.8391,462.1667,3.7122,2814.3166,1251.0054,148402.5243,766.8193,4.9496,1
TCGA-49-AARO,5.7654,2236.3794,1.1531,0,59.9596,6.9184,513.6927,1.7296,20.1787,24.2145,9.8011,1950.9945,698.7604,819.2563,9.2246,2488.2617,1092.5339,20.1787,72.4416,3342.1735,1
TCGA-49-AARQ,2.809,521.3483,0,8.427,28.6517,0.5618,261.236,0,6.7416,1.6854,166.8539,88.2022,285.9551,1542.1348,1208.427,431.9326,1.6854,38.764,7019.1798,8.427,1
TCGA-49-AARR,689.8839,93726.2406,84.1944,38.2702,2433.4737,349.0241,8246.46,140.8343,212.272,1064.9318,1.0205,173.4915,48.9858,7.654,8.1643,16.4307,5.1027,20.4108,22.2937,87.7663,1
TCGA-4B-A93V,0,0.9622,0.9622,0,0.4811,0,38.9691,0,1.9244,5.2921,15.8763,2077.3922,185.7048,126.5294,0.9622,2165.3807,15.3952,20.2062,1231.6752,61.0998,1
TCGA-50-5049,2.2321,6231.5848,1.6741,2.2321,133.3705,8.9286,728.7946,1.1161,13.3929,74.7768,1059.1518,379.4643,3018.9732,3.9062,3.9062,436.0491,257.2545,18.9732,201.6016,526.7857,1
TCGA-50-5066,4.3554,22863.2404,6.0976,0,299.6516,19.1638,418.9895,6.9686,109.7561,343.2056,78.3972,466.0279,1273.5192,4.3554,74.0418,415.331,102.7875,67.0732,812.9791,529.6167,1
TCGA-50-5942,1.2786,30737.4128,3.8359,1.9179,2449.8381,105.4862,471.8112,7.0324,3.8359,30.6869,52.4235,397.6512,6.3931,6.3931,14.7041,1424.5054,0,12.7862,16.6221,85.0283,1
TCGA-50-5944,1.8295,10496.7221,0.6098,0,110.9925,56.716,1261.7777,7.3182,26.2235,84.1592,602.5309,82.9395,186.004,3.0492,107.3334,2412.8007,12.8068,143.9244,7.7451,3.6591,1
TCGA-50-5946,4.5031,2.8948,0,0.3216,7.3979,0.6433,134.4484,0,57.5748,0.9649,5.7896,1479.8971,353.8115,9.3278,413.3162,2080.8202,1222.9013,174.0109,133.1811,81.055,1
TCGA-50-6597,1.885,188.5014,3.77,0,13.1951,4.7125,779.4533,2.8275,13.1951,9.4251,70.688,629.5947,7.5401,406.2205,163.9962,5135.6173,200.754,28752.1206,0,0.9425,1
TCGA-50-7109,7.9325,4561.2017,1.2204,7.3223,147.0568,46.3748,100.682,1.2204,3.051,15.2549,0,365.5063,961.6661,84.817,20.1364,293.3326,6.1019,22.5772,453.1241,142.1753,1
TCGA-50-8457,0.8877,42.166,0,0,5.3262,0.8877,291.1673,86.5513,1.7754,233.9103,557.0351,595.2064,75.4549,208.1669,4.8824,402.9738,1.7754,3516.6445,26.8442,464.7137,1
TCGA-50-8460,92.3172,55682.7757,17.3482,2.4783,1434.3247,114.0025,2205.0805,26.6419,16.109,62.5774,37.1747,124.5353,17.3482,3.7175,78.0669,3566.9888,4.9566,18.5874,1287.8253,5.5762,1
TCGA-55-1595,22.2796,5602.8616,5.1884,2.4416,373.87,52.4944,703.1808,1.8312,32.046,48.5268,2087.2628,4185.2076,4763.5616,401.6432,6.7144,1090.1317,414.4616,754.7596,24.5228,221.27,1
TCGA-55-6543,16.165,9138.2386,20.0669,7.2464,887.4025,32.8874,2371.7949,9.476,35.1171,48.495,574.6934,928.0936,196.2096,12.2631,98.6622,4.4872,0,62.4303,620.2899,109.2531,1
TCGA-55-6642,0,91.0878,0,0,12.4509,0,43.2503,0,2.6212,15.7274,1034.7313,1804.7182,20027.5229,321.1009,699.2136,230.5963,231.979,169.0695,701.2123,562.2543,1
TCGA-55-6969,5.5192,17.9374,2.0697,0,1260.4444,0.3449,32.0803,0,4.1394,13.798,65.5404,235.6003,4427.0782,22.0767,2.0697,83.3052,523.288,130.0459,4180.9742,229.3912,1
TCGA-55-6971,67.7638,31769.6031,19.3611,15.4889,2114.2304,179.09,1910.939,11.6167,45.4985,117.1346,240.0774,2129.7193,597.2894,20.3291,121.9748,2033.3785,187.8025,93.9013,1078.8093,83.2527,1
