"","TCGA-44-2655","TCGA-44-2657","TCGA-44-2665","TCGA-44-2668","TCGA-44-3396","TCGA-44-3398","TCGA-44-6144","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7667","TCGA-44-7670","TCGA-44-7671","TCGA-44-7672","TCGA-49-6742","TCGA-49-6743","TCGA-49-6744","TCGA-49-6745","TCGA-50-7109","TCGA-55-7283","TCGA-55-7570","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7903","TCGA-55-7910","TCGA-55-7911","TCGA-55-7914","TCGA-78-7163","TCGA-78-7540","TCGA-86-7711","TCGA-86-7713","TCGA-91-6835","TCGA-91-6836","TCGA-93-7348"
"hsa-mir-6726",14.714538,1.298003,5.259877,8.241136,6.639258,0,0,0,0,0,0,0,0,0.151999,0.175313,0,0,0,0,0,0,0,0,0,0,0,0,0.406386,0,0,0.231443,0.483846,0,0,0,0,0,0,0,0
"hsa-mir-6727",3.678634,0,2.629939,4.120568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203193,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6728",0,0,0,0,1.659814,0,0.156476,0,0,0.167485,0.409816,0,0,0,0,0,0,0,0,0,0.099859,0,0,0,0.157449,0,0,0,0.154225,0.676481,0,0.483846,0,0,0,0,0,0,0,0
"hsa-mir-6729",3.678634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191309,0,0,0,0,0,0,0,0,0,0,0.175746,0,0,0.106516
"hsa-mir-6730",5.517952,3.89401,1.314969,12.361703,0,0,0.469428,0,0.10682,0,0,0,0,0.151999,0.525938,0.384709,0,0.273162,0,0.18811,0.099859,0.451912,0.47174,0.63515,0.157449,0.191309,0.187261,0,0,0.225494,0.462886,0,0,0,0.134139,0,0.175746,0.197544,0,0
"hsa-mir-6731",0,1.298003,0,2.060284,1.659814,0,0.312952,0,0,0.167485,0,0,0.164125,0,0,0,0,0,0,0,0.199717,0.225956,0,0.211717,0,0,0,0,0,0,0,0,0,0,0,0.166514,0,0,0,0
"hsa-mir-6732",0,0,0,0,0,0.68466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6733",0,0,0,0,0,0,0.312952,0.149708,0.213641,0.66994,0.204908,0.250623,0.492374,0.303998,0.350625,0,0,0.136581,0.657679,0,0,0,0.157247,0.423433,0.472348,0.191309,0.374522,0.406386,0.6169,1.127468,0.231443,0.483846,0.371709,0.221604,0.134139,0.499542,0.351491,0.197544,0,0.213032
"hsa-mir-6734",7.357269,0,0,6.180852,9.958886,1.369319,0.156476,0,0.10682,0.167485,0,0,0.328249,0.303998,0,0.192354,0,0,0,0.18811,0,0,0.157247,0,0.157449,0.191309,0,0,0,0.450987,0,0,0.185854,0,0.134139,0.166514,0,0,0,0
"hsa-mir-6735",1.839317,0,1.314969,2.060284,8.299072,0.68466,0.156476,0,0.213641,0,0,0.125311,0,0,0.175313,0,0.208818,0,0,0.18811,0,0,0.157247,0,0,0,0,0,0.154225,0,0,0.483846,0,0,0,0,0,0,0,0
"hsa-mir-6736",0,0,0,0,0,0,0,0,0,0,0.204908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6737",1.839317,0,0,0,3.319629,0,0,0,0,0,0,0.125311,0,0.151999,0,0,0,0,0,0,0,0.225956,0,0,0,0,0,0.203193,0,0,0,0,0,0,0.134139,0.166514,0,0,0,0
"hsa-mir-6738",0,0,0,2.060284,3.319629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6169,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6740",0,0,0,0,0,0,0.156476,0,0.10682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6741",0,0,0,0,6.639258,0,0,0,0.213641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483846,0,0,0,0,0,0,0,0
